name	replicates	treatment	time	condition
Vector_LPS0_rep1	Rep1	LPS0	0	Vector
Vector_LPS0_rep2	Rep2	LPS0	0	Vector
Vector_LPS0_rep3	Rep3	LPS0	0	Vector
WT_LPS0_rep1	Rep1	LPS0	0	WT
WT_LPS0_rep2	Rep2	LPS0	0	WT
WT_LPS0_rep3	Rep3	LPS0	0	WT
K197R_LPS0_rep1	Rep1	LPS0	0	K197R
K197R_LPS0_rep2	Rep2	LPS0	0	K197R
K197R_LPS0_rep3	Rep3	LPS0	0	K197R
K197Q_LPS0_rep1	Rep1	LPS0	0	K197Q
K197Q_LPS0_rep2	Rep2	LPS0	0	K197Q
K197Q_LPS0_rep3	Rep3	LPS0	0	K197Q
Vector_LPS3_rep1	Rep1	LPS3	3	Vector
Vector_LPS3_rep2	Rep2	LPS3	3	Vector
Vector_LPS3_rep3	Rep3	LPS3	3	Vector
WT_LPS3_rep1	Rep1	LPS3	3	WT
WT_LPS3_rep2	Rep2	LPS3	3	WT
WT_LPS3_rep3	Rep3	LPS3	3	WT
K197R_LPS3_rep1	Rep1	LPS3	3	K197R
K197R_LPS3_rep2	Rep2	LPS3	3	K197R
K197R_LPS3_rep3	Rep3	LPS3	3	K197R
K197Q_LPS3_rep1	Rep1	LPS3	3	K197Q
K197Q_LPS3_rep2	Rep2	LPS3	3	K197Q
K197Q_LPS3_rep3	Rep3	LPS3	3	K197Q
Vector_LPS12_rep1	Rep1	LPS12	12	Vector
Vector_LPS12_rep2	Rep2	LPS12	12	Vector
Vector_LPS12_rep3	Rep3	LPS12	12	Vector
WT_LPS12_rep1	Rep1	LPS12	12	WT
WT_LPS12_rep2	Rep2	LPS12	12	WT
WT_LPS12_rep3	Rep3	LPS12	12	WT
K197R_LPS12_rep1	Rep1	LPS12	12	K197R
K197R_LPS12_rep2	Rep2	LPS12	12	K197R
K197R_LPS12_rep3	Rep3	LPS12	12	K197R
K197Q_LPS12_rep1	Rep1	LPS12	12	K197Q
K197Q_LPS12_rep2	Rep2	LPS12	12	K197Q
K197Q_LPS12_rep3	Rep3	LPS12	12	K197Q
