name	condition	time	treatment.nested	replicates	treatment
shCTRL_LPS0_Rep1	shCTRL	0	lps0_shctrl	Rep1	LPS0
shCTRL_LPS0_Rep2	shCTRL	0	lps0_shctrl	Rep2	LPS0
shCTRL_LPS0_Rep3	shCTRL	0	lps0_shctrl	Rep3	LPS0
shCTRL_LPS3_Rep1	shCTRL	3	lps3_shctrl	Rep1	LPS3
shCTRL_LPS3_Rep2	shCTRL	3	lps3_shctrl	Rep2	LPS3
shCTRL_LPS3_Rep3	shCTRL	3	lps3_shctrl	Rep3	LPS3
shCTRL_LPS12_Rep1	shCTRL	12	lps12_shctrl	Rep1	LPS12
shCTRL_LPS12_Rep2	shCTRL	12	lps12_shctrl	Rep2	LPS12
shCTRL_LPS12_Rep3	shCTRL	12	lps3_shctrl	Rep3	LPS12
shMOF_LPS0_Rep1	shMOF	0	lps0_shmof	Rep1	LPS0
shMOF_LPS0_Rep2	shMOF	0	lps0_shmof	Rep2	LPS0
shMOF_LPS0_Rep3	shMOF	0	lps0_shmof	Rep3	LPS0
shMOF_LPS3_Rep1	shMOF	3	lps3_shmof	Rep1	LPS3
shMOF_LPS3_Rep2	shMOF	3	lps3_shmof	Rep2	LPS3
shMOF_LPS3_Rep3	shMOF	3	lps3_shmof	Rep3	LPS3
shMOF_LPS12_Rep1	shMOF	12	lps12_shmof	Rep1	LPS12
shMOF_LPS12_Rep2	shMOF	12	lps12_shmof	Rep2	LPS12
shMOF_LPS12_Rep3	shMOF	12	lps12_shmof	Rep3	LPS12
shPRDX1_LPS0_Rep1	shPRDX1	0	lps0_shprdx1	Rep1	LPS0
shPRDX1_LPS0_Rep2	shPRDX1	0	lps0_shprdx1	Rep2	LPS0
shPRDX1_LPS0_Rep3	shPRDX1	0	lps0_shprdx1	Rep3	LPS0
shPRDX1_LPS3_Rep1	shPRDX1	3	lps3_shprdx1	Rep1	LPS3
shPRDX1_LPS3_Rep2	shPRDX1	3	lps3_shprdx1	Rep2	LPS3
shPRDX1_LPS3_Rep3	shPRDX1	3	lps3_shprdx1	Rep3	LPS3
shPRDX1_LPS12_Rep1	shPRDX1	12	lps12_shprdx1	Rep1	LPS12
shPRDX1_LPS12_Rep2	shPRDX1	12	lps12_shprdx1	Rep2	LPS12
shPRDX1_LPS12_Rep3	shPRDX1	12	lps12_shprdx1	Rep3	LPS12
