name	condition	treatment	treatment.nested	replicate
vector_LPS0_rep1	vector	LPS0	vector_LPS0	1
vector_LPS0_rep2	vector	LPS0	vector_LPS0	2
vector_LPS0_rep3	vector	LPS0	vector_LPS0	3
WT_LPS0_rep1	WT	LPS0	WT_LPS0	1
WT_LPS0_rep2	WT	LPS0	WT_LPS0	2
WT_LPS0_rep3	WT	LPS0	WT_LPS0	3
K197R_LPS0_rep1	K197R	LPS0	K197R_LPS0	1
K197R_LPS0_rep2	K197R	LPS0	K197R_LPS0	2
K197R_LPS0_rep3	K197R	LPS0	K197R_LPS0	3
K197Q_LPS0_rep1	K197Q	LPS0	K197Q_LPS0	1
K197Q_LPS0_rep2	K197Q	LPS0	K197Q_LPS0	2
K197Q_LPS0_rep3	K197Q	LPS0	K197Q_LPS0	3
vector_LPS3_rep1	vector	LPS3	vector_LPS3	1
vector_LPS3_rep2	vector	LPS3	vector_LPS3	2
vector_LPS3_rep3	vector	LPS3	vector_LPS3	3
WT_LPS3_rep1	WT	LPS3	WT_LPS3	1
WT_LPS3_rep2	WT	LPS3	WT_LPS3	2
WT_LPS3_rep3	WT	LPS3	WT_LPS3	3
K197R_LPS3_rep1	K197R	LPS3	K197R_LPS3	1
K197R_LPS3_rep2	K197R	LPS3	K197R_LPS3	2
K197R_LPS3_rep3	K197R	LPS3	K197R_LPS3	3
K197Q_LPS3_rep1	K197Q	LPS3	K197Q_LPS3	1
K197Q_LPS3_rep2	K197Q	LPS3	K197Q_LPS3	2
K197Q_LPS3_rep3	K197Q	LPS3	K197Q_LPS3	3
vector_LPS12_rep1	vector	LPS12	vector_LPS12	1
vector_LPS12_rep2	vector	LPS12	vector_LPS12	2
vector_LPS12_rep3	vector	LPS12	vector_LPS12	3
WT_LPS12_rep1	WT	LPS12	WT_LPS12	1
WT_LPS12_rep2	WT	LPS12	WT_LPS12	2
WT_LPS12_rep3	WT	LPS12	WT_LPS12	3
K197R_LPS12_rep1	K197R	LPS12	K197R_LPS12	1
K197R_LPS12_rep2	K197R	LPS12	K197R_LPS12	2
K197R_LPS12_rep3	K197R	LPS12	K197R_LPS12	3
K197Q_LPS12_rep1	K197Q	LPS12	K197Q_LPS12	1
K197Q_LPS12_rep2	K197Q	LPS12	K197Q_LPS12	2
K197Q_LPS12_rep3	K197Q	LPS12	K197Q_LPS12	3
